TREATYID,REFERENCE,C1LONG,C2LONG,TYPE,SIGNED,EFFECTIVE,STATUS,C1CODE,C1INCOME,C1REGION,C2CODE,C2INCOME,C2REGION,SOURCE,WHTRATES,PE,OTHER,UN,5i,5ii,5iii,5iv,5v,5vi,5vii,5viii,7i,7ii,8i,10i,10ii,10iii,11i,11ii,12i,12ia,12ib,12iv,13i,13ii,14i,16i,21i,25i,27i,29i
15007,EAC,Kenya,Tanzania,Multilateral,2010,,Not In Force,KEN,Lower middle income,Sub-Saharan Africa,TZA,Low income,Sub-Saharan Africa,0.55,0.44,0.84,0.38,0.65,6,YES,6,NO,NO,YES,YES,NO,NO,YES,NO,5,,5,10,10,10,10,10,10,NO,NO,YES,NO,YES,NO,YES,NA
15007,EAC,Kenya,Uganda,Multilateral,2010,,Not In Force,KEN,Lower middle income,Sub-Saharan Africa,UGA,Low income,Sub-Saharan Africa,0.55,0.44,0.84,0.38,0.65,6,YES,6,NO,NO,YES,YES,NO,NO,YES,NO,5,,5,10,10,10,10,10,10,NO,NO,YES,NO,YES,NO,YES,NA
15007,EAC,Rwanda,Tanzania,Multilateral,2010,,Not In Force,RWA,Low income,Sub-Saharan Africa,TZA,Low income,Sub-Saharan Africa,0.55,0.44,0.84,0.38,0.65,6,YES,6,NO,NO,YES,YES,NO,NO,YES,NO,5,,5,10,10,10,10,10,10,NO,NO,YES,NO,YES,NO,YES,NA
15007,EAC,Rwanda,Uganda,Multilateral,2010,,Not In Force,RWA,Low income,Sub-Saharan Africa,UGA,Low income,Sub-Saharan Africa,0.55,0.44,0.84,0.38,0.65,6,YES,6,NO,NO,YES,YES,NO,NO,YES,NO,5,,5,10,10,10,10,10,10,NO,NO,YES,NO,YES,NO,YES,NA
15007,EAC,Tanzania,Uganda,Multilateral,2010,,Not In Force,RWA,Low income,Sub-Saharan Africa,UGA,Low income,Sub-Saharan Africa,0.55,0.44,0.84,0.38,0.65,6,YES,6,NO,NO,YES,YES,NO,NO,YES,NO,5,,5,10,10,10,10,10,10,NO,NO,YES,NO,YES,NO,YES,NA
20001,8394,Albania,Belgium,Amended by MLI,2019,2021,In Force,ALB,Upper middle income,Europe & Central Asia,BEL,High income,Europe & Central Asia,0.41,0.25,0.70,0.29,0.47,9,YES,9,NO,NO,NO,NO,YES,NO,NO,NO,5,25,15,5,5,5,5,5,0,YES,NO,YES,NO,,NO,YES,PPT
20002,8886,Albania,Bosnia and Herzegovina,Amended by MLI,2019,2021,In Force,ALB,Upper middle income,Europe & Central Asia,BIH,Upper middle income,Europe & Central Asia,0.43,0.34,0.69,0.25,0.41,12,YES,6,NO,NO,NO,NO,YES,NO,NO,NO,5,25,10,10,10,10,10,10,0,YES,NO,YES,NO,NO,NO,NO,PPT
20003,7968,Albania,Bulgaria,Amended by MLI,2019,,Not In Force,ALB,Upper middle income,Europe & Central Asia,BGR,Upper middle income,Europe & Central Asia,0.40,0.38,0.58,0.25,0.38,9,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,5,25,15,10,10,10,10,10,0,YES,NO,YES,NO,NO,NO,NO,PPT
20004,8552,Albania,China,Amended by MLI,2019,,Not In Force,ALB,Upper middle income,Europe & Central Asia,CHN,Upper middle income,East Asia & Pacific,0.36,0.38,0.45,0.25,0.32,9,YES,9,YES,YES,NO,NO,YES,NO,NO,NO,10,,10,10,10,10,10,10,0,YES,NO,YES,NO,NO,NO,NO,PPT
20005,7487,Albania,Croatia,Amended by MLI,2019,2021,In Force,ALB,Upper middle income,Europe & Central Asia,HRV,High income,Europe & Central Asia,0.44,0.38,0.69,0.25,0.41,12,YES,12,NO,NO,NO,NO,YES,NO,NO,NO,10,,10,10,10,10,10,10,0,YES,NO,YES,NO,NO,NO,NO,PPT
20007,8586,Albania,"Egypt, Arab Rep.",Amended by MLI,2019,2021,In Force,ALB,Upper middle income,Europe & Central Asia,EGY,Lower middle income,Middle East & North Africa,0.53,0.38,0.84,0.38,0.59,6,YES,6,NO,NO,NO,YES,YES,NO,NO,NO,10,,10,10,10,10,10,10,0,YES,YES,YES,NO,NO,NO,NO,PPT
20008,9112,Albania,Estonia,Amended by MLI,2019,2021,In Force,ALB,Upper middle income,Europe & Central Asia,EST,High income,Europe & Central Asia,0.31,0.22,0.45,0.25,0.32,9,YES,6,YES,YES,NO,NO,YES,NO,NO,NO,5,10,10,5,5,5,5,5,0,YES,NO,YES,NO,NO,NO,YES,PPT
20009,8400,Albania,France,Amended by MLI,2019,2021,In Force,ALB,Upper middle income,Europe & Central Asia,FRA,High income,Europe & Central Asia,0.26,0.31,0.19,0.29,0.19,12,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,5,25,15,10,10,5,5,5,0,YES,NO,YES,NO,,NO,YES,PPT
20011,7553,Albania,Greece,Amended by MLI,2019,,Not In Force,ALB,Upper middle income,Europe & Central Asia,GRC,High income,Europe & Central Asia,0.38,0.19,0.58,0.38,0.44,9,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,5,,5,5,5,5,5,5,0,YES,NO,YES,NO,NO,NO,NO,PPT
20013,9519,Albania,Iceland,Amended by MLI,2019,2021,In Force,ALB,Upper middle income,Europe & Central Asia,ISL,High income,Europe & Central Asia,0.35,0.34,0.47,0.25,0.35,6,YES,6,YES,YES,NO,NO,YES,NO,NO,NO,5,25,10,10,10,10,10,10,0,YES,NO,YES,NO,NO,NO,NO,PPT
20014,9437,Albania,India,Amended by MLI,2019,2021,In Force,ALB,Upper middle income,Europe & Central Asia,IND,Lower middle income,South Asia,0.66,0.50,0.97,0.50,0.76,6,YES,6,NO,NO,YES,YES,YES,NO,YES,NO,10,,10,10,10,10,10,10,10,YES,YES,YES,NO,NO,NO,YES,PPT
20015,9056,Albania,Ireland,Amended by MLI,2019,2021,In Force,ALB,Upper middle income,Europe & Central Asia,IRL,High income,Europe & Central Asia,0.28,0.23,0.34,0.29,0.31,6,YES,6,YES,YES,NO,NO,NO,NO,NO,NO,5,25,10,7,0,7,7,7,0,YES,NO,YES,NO,,NO,NO,PPT
20020,8861,Albania,Latvia,Amended by MLI,2019,2021,In Force,ALB,Upper middle income,Europe & Central Asia,LVA,High income,Europe & Central Asia,0.28,0.25,0.33,0.25,0.26,9,YES,6,YES,YES,NO,NO,NO,NO,NO,NO,5,25,10,10,5,5,5,5,0,YES,NO,YES,NO,NO,NO,NO,PPT
20021,7874,Albania,North Macedonia,Amended by MLI,2020,,Not In Force,ALB,Upper middle income,Europe & Central Asia,MKD,Upper middle income,Europe & Central Asia,0.48,0.38,0.83,0.25,0.50,9,YES,9,NO,NO,YES,NO,YES,NO,NO,NO,10,,10,10,10,10,10,10,0,YES,NO,YES,NO,NO,NO,NO,PPT
20022,7412,Albania,Malaysia,Amended by MLI,2019,2021,In Force,ALB,Upper middle income,Europe & Central Asia,MYS,Upper middle income,East Asia & Pacific,0.48,0.50,0.70,0.25,0.50,9,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,5,25,15,10,10,10,10,10,10,NO,NO,YES,NO,YES,NO,NO,PPT
20023,8117,Albania,Malta,Amended by MLI,2019,2021,In Force,ALB,Upper middle income,Europe & Central Asia,MLT,High income,Middle East & North Africa,0.45,0.25,0.84,0.25,0.53,6,YES,6,NO,NO,YES,NO,YES,NO,NO,NO,5,25,15,5,5,5,5,5,0,YES,NO,YES,NO,NO,NO,NO,PPT
20025,8541,Albania,Netherlands,Amended by MLI,2019,2021,In Force,ALB,Upper middle income,Europe & Central Asia,NLD,High income,Europe & Central Asia,0.38,0.31,0.58,0.25,0.38,9,NO,9,NO,NO,NO,NO,YES,NO,NO,NO,0,,15,10,5,10,10,10,0,YES,NO,YES,NO,NO,YES,YES,PPT
20027,7342,Albania,Poland,Amended by MLI,2019,2021,In Force,ALB,Upper middle income,Europe & Central Asia,POL,High income,Europe & Central Asia,0.20,0.28,0.06,0.25,0.12,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,25,10,10,10,5,5,5,0,YES,NO,YES,NO,NO,NO,NO,PPT
20028,9270,Albania,Qatar,Amended by MLI,2019,2021,In Force,ALB,Upper middle income,Europe & Central Asia,QAT,High income,Middle East & North Africa,0.35,0.20,0.59,0.25,0.41,6,YES,6,YES,YES,NO,YES,YES,NO,NO,NO,5,,5,5,5,6,6,6,0,YES,NO,YES,NO,NO,NO,NO,PPT
20029,7442,Albania,Romania,Amended by MLI,2019,,Not In Force,ALB,Upper middle income,Europe & Central Asia,ROU,Upper middle income,Europe & Central Asia,0.47,0.47,0.58,0.38,0.44,9,YES,9,YES,YES,YES,NO,YES,YES,NO,NO,10,25,15,10,10,15,15,15,0,NO,NO,YES,NO,YES,NO,NO,PPT
20030,7523,Albania,Russian Federation,Amended by MLI,2019,2021,In Force,ALB,Upper middle income,Europe & Central Asia,RUS,Upper middle income,Europe & Central Asia,0.31,0.38,0.19,0.38,0.24,12,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,10,,10,10,10,10,10,10,0,YES,NO,YES,NO,YES,NO,NO,PPT
20032,8577,Albania,Serbia,Amended by MLI,2019,2021,In Force,ALB,Upper middle income,Europe & Central Asia,SRB,Upper middle income,Europe & Central Asia,0.57,0.50,0.83,0.38,0.62,9,YES,9,NO,NO,YES,NO,YES,NO,YES,NO,5,25,15,10,10,10,10,10,10,YES,NO,YES,NO,NO,NO,NO,PPT
20033,9188,Albania,Singapore,Amended by MLI,2019,2021,In Force,ALB,Upper middle income,Europe & Central Asia,SGP,High income,East Asia & Pacific,0.29,0.19,0.31,0.38,0.29,12,YES,6,YES,YES,NO,NO,NO,NO,NO,NO,5,,5,5,5,5,5,5,0,YES,NO,YES,NO,YES,NO,NO,PPT
20034,8864,Albania,Slovenia,Amended by MLI,2019,2021,In Force,ALB,Upper middle income,Europe & Central Asia,SVN,High income,Europe & Central Asia,0.32,0.27,0.44,0.25,0.29,12,YES,6,YES,YES,NO,NO,YES,NO,NO,NO,5,25,10,7,7,7,7,7,0,YES,NO,YES,NO,NO,NO,NO,PPT
20035,9146,Albania,Spain,Amended by MLI,2019,,Not In Force,ALB,Upper middle income,Europe & Central Asia,ESP,High income,Europe & Central Asia,0.14,0.10,0.19,0.13,0.12,12,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,0,,10,6,0,0,0,0,0,YES,NO,NO,NO,NO,NO,NO,PPT
20036,7901,Albania,Sweden,Amended by MLI,2019,2021,In Force,ALB,Upper middle income,Europe & Central Asia,SWE,High income,Europe & Central Asia,0.40,0.25,0.70,0.25,0.44,9,YES,9,NO,NO,NO,NO,YES,NO,NO,NO,5,25,15,5,5,5,5,5,0,NO,NO,YES,NO,YES,NO,NO,PPT
20038,7432,Albania,Turkey,Amended by MLI,2019,,Not In Force,ALB,Upper middle income,Europe & Central Asia,TUR,Upper middle income,Europe & Central Asia,0.23,0.38,0.19,0.13,0.12,12,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,5,25,15,10,10,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,PPT
20039,9482,Albania,United Arab Emirates,Amended by MLI,2019,2021,In Force,ALB,Upper middle income,Europe & Central Asia,ARE,High income,Middle East & North Africa,0.38,0.16,0.72,0.25,0.47,6,YES,9,YES,YES,YES,YES,YES,NO,NO,NO,5,10,10,0,0,5,5,5,0,YES,NO,YES,NO,NO,NO,NO,PPT
20040,9402,Albania,United Kingdom,Amended by MLI,2019,2021,In Force,ALB,Upper middle income,Europe & Central Asia,GBR,High income,Europe & Central Asia,0.12,0.13,0.09,0.13,0.12,6,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,25,10,6,0,0,0,0,0,YES,NO,NO,NO,NO,YES,YES,PPT
20041,8051,Argentina,Australia,Amended by MLI,2017,,Not In Force,ARG,Upper middle income,Latin America & Caribbean,AUS,High income,East Asia & Pacific,0.70,0.64,0.72,0.75,0.76,6,YES,6,NO,NO,NO,YES,NO,YES,YES,NO,10,25,15,12,12,15,10,10,15,YES,YES,YES,NO,YES,NO,NO,PPT
20042,7675,Argentina,Belgium,Amended by MLI,2017,,Not In Force,ARG,Upper middle income,Latin America & Caribbean,BEL,High income,Europe & Central Asia,0.67,0.54,0.84,0.63,0.76,6,YES,6,NO,NO,NO,YES,YES,YES,NO,NO,10,25,15,12,12,10,5,10,10,YES,YES,YES,NO,YES,NO,NO,PPT
20043,7361,Argentina,Canada,Amended by MLI,2017,,Not In Force,ARG,Upper middle income,Latin America & Caribbean,CAN,High income,North America,0.56,0.58,0.59,0.50,0.59,6,YES,6,YES,YES,NO,YES,YES,YES,NO,NO,10,25,15,12.5,12.5,10,15,10,10,YES,YES,YES,NO,NO,NO,NO,PPT
20044,9572,Argentina,Chile,Amended by MLI,2017,,Not In Force,ARG,Upper middle income,Latin America & Caribbean,CHL,High income,Latin America & Caribbean,0.65,0.60,0.84,0.50,0.71,6,YES,6,NO,NO,NO,YES,YES,NO,NO,NO,10,25,15,15,12,10,15,10,10,YES,YES,YES,NO,YES,NO,YES,PPT
20045,7598,Argentina,Denmark,Amended by MLI,2017,,Not In Force,ARG,Upper middle income,Latin America & Caribbean,DNK,High income,Europe & Central Asia,0.60,0.58,0.59,0.63,0.65,6,YES,6,YES,YES,NO,YES,YES,YES,NO,NO,10,25,15,12,12,10,15,10,10,YES,YES,YES,NO,YES,NO,NO,PPT
20046,7492,Argentina,Finland,Amended by MLI,2017,,Not In Force,ARG,Upper middle income,Latin America & Caribbean,FIN,High income,Europe & Central Asia,0.69,0.61,0.84,0.63,0.76,6,YES,6,NO,NO,NO,YES,YES,YES,NO,NO,10,25,15,15,15,10,15,10,10,YES,YES,YES,NO,YES,NO,NO,PPT
20047,6579,Argentina,France,Amended by MLI,2017,,Not In Force,ARG,Upper middle income,Latin America & Caribbean,FRA,High income,Europe & Central Asia,0.43,0.67,0.34,0.29,0.31,6,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,15,,15,20,20,18,18,NO LIMIT,0,YES,,YES,NO,NO,NO,NO,PPT
20048,6594,Argentina,Italy,Amended by MLI,2017,,Not In Force,ARG,Upper middle income,Latin America & Caribbean,ITA,High income,Europe & Central Asia,0.40,0.63,0.20,0.38,0.26,9,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,15,,15,20,20,18,10,18,0,YES,NO,YES,NO,YES,NO,NO,PPT
20049,9622,Argentina,Mexico,Amended by MLI,2017,,Not In Force,ARG,Upper middle income,Latin America & Caribbean,MEX,Upper middle income,Latin America & Caribbean,0.68,0.58,0.97,0.50,0.76,6,YES,6,NO,NO,YES,YES,YES,NO,NO,NO,10,25,15,12,12,10,15,10,10,YES,YES,YES,NO,YES,NO,NO,PPT
20050,7742,Argentina,Netherlands,Amended by MLI,2017,,Not In Force,ARG,Upper middle income,Latin America & Caribbean,NLD,High income,Europe & Central Asia,0.58,0.54,0.59,0.63,0.65,6,YES,6,YES,YES,NO,YES,YES,YES,NO,NO,10,25,15,12,12,10,5,10,10,YES,YES,YES,NO,YES,NO,NO,PPT
20051,7842,Argentina,Norway,Amended by MLI,2017,,Not In Force,ARG,Upper middle income,Latin America & Caribbean,NOR,High income,Europe & Central Asia,0.60,0.54,0.84,0.43,0.69,6,YES,6,NO,NO,NO,YES,YES,YES,NO,NO,10,25,15,12.5,12.5,10,5,10,10,NO,,YES,NO,YES,NO,NO,PPT
20052,8267,Argentina,Russian Federation,Amended by MLI,2017,,Not In Force,ARG,Upper middle income,Latin America & Caribbean,RUS,Upper middle income,Europe & Central Asia,0.69,0.72,0.84,0.50,0.71,6,YES,1,NO,NO,NO,YES,YES,YES,NO,NO,10,25,15,15,15,15,15,15,15,YES,YES,YES,NO,NO,NO,NO,LOB-PPT
20053,9394,Argentina,Spain,Amended by MLI,2017,,Not In Force,ARG,Upper middle income,Latin America & Caribbean,ESP,High income,Europe & Central Asia,0.72,0.58,0.97,0.63,0.82,6,YES,6,NO,NO,YES,YES,YES,YES,NO,NO,10,25,15,12,12,10,15,10,10,YES,YES,YES,NO,YES,NO,NO,PPT
20054,7538,Argentina,Sweden,Amended by MLI,2017,,Not In Force,ARG,Upper middle income,Latin America & Caribbean,SWE,High income,Europe & Central Asia,0.63,0.54,0.84,0.50,0.71,6,YES,6,NO,NO,NO,YES,YES,YES,NO,NO,10,25,15,12.5,12.5,10,5,10,10,NO,YES,YES,NO,YES,NO,NO,PPT
20055,9483,Argentina,Switzerland,Amended by MLI,2017,,Not In Force,ARG,Upper middle income,Latin America & Caribbean,CHE,High income,Europe & Central Asia,0.66,0.58,0.84,0.57,0.75,6,YES,6,NO,NO,NO,YES,YES,YES,NO,NO,10,25,15,12,12,10,15,10,10,YES,YES,YES,NO,,NO,NO,PPT
20056,7603,Argentina,United Kingdom,Amended by MLI,2017,,Not In Force,ARG,Upper middle income,Latin America & Caribbean,GBR,High income,Europe & Central Asia,0.64,0.58,0.84,0.50,0.71,6,YES,6,NO,NO,NO,YES,YES,NO,NO,NO,10,25,15,12,12,10,15,10,10,YES,YES,YES,NO,YES,NO,NO,PPT
20057,9712,Argentina,United Arab Emirates,Amended by MLI,2018,,Not In Force,ARG,Upper middle income,Latin America & Caribbean,ARE,High income,Middle East & North Africa,0.72,0.56,0.97,0.63,0.82,6,YES,6,NO,NO,YES,YES,YES,YES,NO,NO,10,25,15,12,12,10,10,10,10,YES,YES,YES,NO,YES,NO,NO,PPT
20060,8235,Armenia,Belgium,Amended by MLI,2017,,Not In Force,ARM,Upper middle income,Europe & Central Asia,BEL,High income,Europe & Central Asia,0.46,0.29,0.58,0.50,0.50,9,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,5,10,15,10,0,8,8,8,0,YES,NO,YES,NO,YES,NO,YES,PPT
20061,7522,Armenia,Bulgaria,Amended by MLI,2017,,Not In Force,ARM,Upper middle income,Europe & Central Asia,BGR,Upper middle income,Europe & Central Asia,0.41,0.29,0.44,0.50,0.41,12,YES,6,YES,YES,NO,YES,NO,NO,YES,NO,5,,10,10,5,10,5,10,0,YES,NO,YES,NO,YES,NO,NO,LOB-PPT
20062,8536,Armenia,Canada,Amended by MLI,2017,,Not In Force,ARM,Upper middle income,Europe & Central Asia,CAN,High income,North America,0.57,0.38,0.83,0.50,0.62,9,YES,9,NO,NO,YES,YES,NO,NO,YES,NO,5,25,15,10,10,10,10,10,0,YES,NO,YES,NO,YES,NO,NO,PPT
20063,7648,Armenia,China,Amended by MLI,2017,,Not In Force,ARM,Upper middle income,Europe & Central Asia,CHN,Upper middle income,East Asia & Pacific,0.39,0.34,0.44,0.38,0.35,12,YES,12,YES,YES,NO,NO,YES,NO,YES,NO,5,25,10,10,10,10,10,10,0,YES,NO,YES,NO,NO,NO,NO,PPT
20064,8994,Armenia,Croatia,Amended by MLI,2017,,Not In Force,ARM,Upper middle income,Europe & Central Asia,HRV,High income,Europe & Central Asia,0.24,0.25,0.22,0.25,0.24,6,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,0,25,10,10,10,5,5,5,0,YES,NO,NO,NO,YES,NO,NO,PPT
20065,9206,Armenia,Cyprus,Amended by MLI,2017,,Not In Force,ARM,Upper middle income,Europe & Central Asia,CYP,High income,Europe & Central Asia,0.26,0.19,0.45,0.13,0.26,9,YES,6,YES,YES,NO,NO,YES,NO,NO,NO,5,,5,5,5,5,5,5,0,YES,NO,NO,NO,NO,NO,NO,PPT
20066,8897,Armenia,Czech Republic,Amended by MLI,2017,,Not In Force,ARM,Upper middle income,Europe & Central Asia,CZE,High income,Europe & Central Asia,0.47,0.32,0.72,0.38,0.53,6,YES,6,NO,NO,YES,NO,NO,NO,YES,NO,10,,10,10,5,10,5,10,0,YES,NO,NO,NO,YES,NO,NO,PPT
20067,8329,Armenia,United Arab Emirates,Amended by MLI,2018,,Not In Force,ARM,Upper middle income,Europe & Central Asia,ARE,High income,Middle East & North Africa,0.35,0.10,0.70,0.25,0.44,9,YES,6,YES,YES,YES,YES,YES,NO,YES,NO,3,,3,0,0,5,5,5,0,NO,NO,YES,NO,NO,NO,NO,PPT
20068,8209,Armenia,Estonia,Amended by MLI,2018,,Not In Force,ARM,Upper middle income,Europe & Central Asia,EST,High income,Europe & Central Asia,0.28,0.38,0.20,0.25,0.21,9,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,25,15,10,10,10,10,10,0,YES,NO,YES,NO,NO,NO,NO,PPT
20069,8745,Armenia,Finland,Amended by MLI,2017,,Not In Force,ARM,Upper middle income,Europe & Central Asia,FIN,High income,Europe & Central Asia,0.24,0.27,0.08,0.38,0.21,9,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,5,25,15,5,5,5,10,5,0,YES,NO,YES,NO,NO,NO,NO,PPT
20070,7865,Armenia,France,Amended by MLI,2017,,Not In Force,ARM,Upper middle income,Europe & Central Asia,FRA,High income,Europe & Central Asia,0.28,0.29,0.19,0.38,0.24,12,NO,NO,YES,YES,NO,NO,YES,NO,YES,NO,5,10,15,10,0,10,5,10,0,YES,NO,YES,NO,NO,NO,YES,PPT
20075,8473,Armenia,India,Amended by MLI,2017,,Not In Force,ARM,Upper middle income,Europe & Central Asia,IND,Lower middle income,South Asia,0.65,0.50,0.83,0.63,0.74,9,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,10,,10,10,10,10,10,10,10,YES,YES,YES,NO,YES,NO,YES,LOB-PPT
20076,8644,Armenia,Indonesia,Amended by MLI,2017,,Not In Force,ARM,Upper middle income,Europe & Central Asia,IDN,Lower middle income,East Asia & Pacific,0.67,0.41,0.97,0.63,0.76,6,YES,4,NO,NO,YES,YES,YES,YES,YES,NO,10,25,15,10,10,10,10,10,0,YES,NO,YES,NO,YES,NO,YES,PPT
20078,9248,Armenia,Ireland,Amended by MLI,2017,,Not In Force,ARM,Upper middle income,Europe & Central Asia,IRL,High income,Europe & Central Asia,0.16,0.28,0.08,0.13,0.09,9,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,10,15,10,5,5,5,5,0,YES,NO,NO,NO,NO,NO,NO,PPT
20079,8352,Armenia,Italy,Amended by MLI,2017,,Not In Force,ARM,Upper middle income,Europe & Central Asia,ITA,High income,Europe & Central Asia,0.27,0.24,0.20,0.38,0.26,9,NO,NO,YES,YES,NO,NO,YES,NO,YES,NO,5,10,10,10,0,7,7,7,0,YES,NO,YES,NO,NO,NO,NO,PPT
20080,8749,Armenia,Kazakhstan,Amended by MLI,2018,,Not In Force,ARM,Upper middle income,Europe & Central Asia,KAZ,Upper middle income,Europe & Central Asia,,,,,,,,,,,,,YES,,,,,,,,,,,,,YES,,,,,,,LOB-PPT
20081,9062,Armenia,Kuwait,Amended by MLI,2017,,Not In Force,ARM,Upper middle income,Europe & Central Asia,KWT,High income,Middle East & North Africa,0.32,0.25,0.47,0.25,0.35,6,YES,3,YES,YES,NO,NO,YES,NO,YES,NO,5,,5,5,5,10,10,10,0,YES,NO,NO,NO,NO,NO,NO,PPT
20082,8101,Armenia,Latvia,Amended by MLI,2017,,Not In Force,ARM,Upper middle income,Europe & Central Asia,LVA,High income,Europe & Central Asia,0.28,0.38,0.20,0.25,0.21,9,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,25,15,10,10,10,10,10,0,YES,NO,YES,NO,NO,NO,NO,PPT
20084,8100,Armenia,Lithuania,Amended by MLI,2017,,Not In Force,ARM,Upper middle income,Europe & Central Asia,LTU,High income,Europe & Central Asia,0.28,0.38,0.19,0.29,0.19,12,NO,NO,YES,YES,NO,NO,YES,NO,NO,,5,25,15,10,10,10,10,10,0,YES,NO,YES,NO,NO,NO,NO,PPT
20085,9009,Armenia,Luxembourg,Amended by MLI,2017,,Not In Force,ARM,Upper middle income,Europe & Central Asia,LUX,High income,Europe & Central Asia,0.27,0.25,0.31,0.25,0.24,12,YES,3,YES,YES,NO,NO,NO,NO,YES,NO,5,10,15,10,0,5,5,5,0,YES,NO,NO,NO,NO,NO,NO,PPT
20087,8272,Armenia,Netherlands,Amended by MLI,2017,,Not In Force,ARM,Upper middle income,Europe & Central Asia,NLD,High income,Europe & Central Asia,0.26,0.22,0.19,0.38,0.24,12,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,5,10,15,5,0,5,5,5,0,YES,NO,YES,NO,NO,NO,YES,PPT
20088,8039,Armenia,Poland,Amended by MLI,2017,,Not In Force,ARM,Upper middle income,Europe & Central Asia,POL,High income,Europe & Central Asia,0.63,0.31,0.81,0.75,0.71,12,YES,6,YES,NO,YES,YES,YES,YES,YES,NO,10,,10,5,5,10,10,10,0,YES,NO,YES,YES,YES,NO,YES,PPT
20089,8331,Armenia,Qatar,Amended by MLI,2018,,Not In Force,ARM,Upper middle income,Europe & Central Asia,QAT,High income,Middle East & North Africa,0.35,0.22,0.58,0.25,0.38,9,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,5,,10,5,5,5,5,5,0,NO,NO,NO,YES,YES,NO,NO,PPT
20091,7743,Armenia,Russian Federation,Amended by MLI,2017,,Not In Force,ARM,Upper middle income,Europe & Central Asia,RUS,Upper middle income,Europe & Central Asia,,,,,,,,,,,,,YES,,,,,,,,,,,,,YES,,,,,,,LOB-PPT
20092,9481,Armenia,Serbia,Amended by MLI,2017,,Not In Force,ARM,Upper middle income,Europe & Central Asia,SRB,Upper middle income,Europe & Central Asia,0.45,0.30,0.56,0.50,0.47,12,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,8,,8,8,8,8,8,8,0,YES,NO,YES,NO,YES,NO,NO,PPT
20094,9171,Armenia,Slovenia,Amended by MLI,2017,,Not In Force,ARM,Upper middle income,Europe & Central Asia,SVN,High income,Europe & Central Asia,0.25,0.28,0.34,0.13,0.24,6,YES,NO,YES,YES,NO,NO,YES,NO,NO,NO,5,25,10,10,10,5,5,5,0,YES,NO,NO,NO,NO,NO,NO,PPT
20095,9196,Armenia,Spain,Amended by MLI,2017,,Not In Force,ARM,Upper middle income,Europe & Central Asia,ESP,High income,Europe & Central Asia,0.23,0.23,0.33,0.13,0.21,9,YES,NO,YES,YES,NO,NO,YES,NO,NO,NO,0,25,10,5,5,10,5,10,0,YES,NO,NO,NO,NO,NO,NO,PPT
20096,9656,Armenia,Sweden,Amended by MLI,2017,,Not In Force,ARM,Upper middle income,Europe & Central Asia,SWE,High income,Europe & Central Asia,0.23,0.25,0.20,0.25,0.21,9,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,10,15,5,5,5,5,5,0,YES,NO,NO,NO,YES,YES,YES,PPT
20102,9247,Armenia,United Kingdom,Amended by MLI,2017,,Not In Force,ARM,Upper middle income,Europe & Central Asia,GBR,High income,Europe & Central Asia,0.14,0.22,0.08,0.13,0.09,9,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,25,10,5,5,5,5,5,0,YES,NO,NO,NO,NO,YES,NO,PPT
20103,7655,Armenia,Ukraine,Amended by MLI,2018,,Not In Force,ARM,Upper middle income,Europe & Central Asia,UKR,Lower middle income,Europe & Central Asia,,,,,,,,,,,,,YES,,,,,,,,,,,,,YES,,,,,,,PPT
20105,7156,Australia,China,Amended by MLI,2017,,Not In Force,AUS,High income,East Asia & Pacific,CHN,Upper middle income,East Asia & Pacific,0.51,0.44,0.47,0.63,0.53,6,YES,6,YES,YES,NO,NO,YES,NO,YES,NO,15,,15,10,10,10,10,10,0,YES,YES,YES,NO,YES,NO,NO,PPT
20106,7268,Australia,India,Amended by MLI,2017,2019,In Force,AUS,High income,East Asia & Pacific,IND,Lower middle income,South Asia,0.73,0.73,0.84,0.63,0.76,6,YES,6,NO,NO,YES,NO,YES,NO,NO,YES,15,,15,15,15,15,15,10,15,YES,YES,YES,NO,YES,NO,YES,PPT
